ShadID; Commit; Message; Ticket; Date; Authors; Version; Files
0171a408e21a51eb74e18a07df1b0ea71b7638ff;commit 0171a408e21a51eb74e18a07df1b0ea71b7638ff 1680082925 -----sp;upgrade hadoop version to 3.3.5 to resolve CVE-2019-10202 (#3896);;2023-03-29;Hang Chen;14;
164417afc2474cbf4ba51e7cb57206b0eeb7d424;commit 164417afc2474cbf4ba51e7cb57206b0eeb7d424 1680054285 -----sp;release ledgerHandler when no missing fragments in checkAllLedgers (#3888);;2023-03-29;lixinyang;14;
e440132802ad883216453642820e407db00baed3;commit e440132802ad883216453642820e407db00baed3 1679994153 -----sp;Optimize log4j dependency in Bookkeeper (#3892);;2023-03-28;ZhangJian He;14;
ee1424456bd8b9b2d70157ee4f2d518605482075;commit ee1424456bd8b9b2d70157ee4f2d518605482075 1679933103 -----sp;fix BookieWriteLedgerTest parameterized failed (#3890);;2023-03-27;Hang Chen;14;
cbd634dbe0c894474a934fab6d8711588ad94114;commit cbd634dbe0c894474a934fab6d8711588ad94114 1679902035 -----sp;Bump javadoc-plugin from 3.1.1 to 3.2.0 (#3853);;2023-03-27;ZhangJian He;14;
8dede5933265cc666c795a124b7b5d449f94db80;commit 8dede5933265cc666c795a124b7b5d449f94db80 1679819266 -----sp;Remove unused jenkins profile (#3885);;2023-03-26;ZhangJian He;14;
5deadcc2411d225e5bdf5dfbf25469fef6adb3b0;commit 5deadcc2411d225e5bdf5dfbf25469fef6adb3b0 1679800280 -----sp;Fix write entry failed in without writing journal case (#3884);;2023-03-26;Hang Chen;14;
e3bfd80653d9837cd916045958137ceb76a09f5e;commit e3bfd80653d9837cd916045958137ceb76a09f5e 1679619540 -----sp;add branch-4.16 protection (#3883);;2023-03-24;Hang Chen;14;
97e3bb1962ad253c683494a7f5c362a4f974511f;commit 97e3bb1962ad253c683494a7f5c362a4f974511f 1679411008 -----sp;Use BatchedArrayBlockingQueue in Journal (#3843);;2023-03-21;Matteo Merli;14;
9fe07bb1fdba0b9a8f26b79e547e23c99d4b7be7;commit 9fe07bb1fdba0b9a8f26b79e547e23c99d4b7be7 1679384895 -----sp;Add V2 protocol support for BenchReadThroughputLatency (#3878);;2023-03-21;Hang Chen;14;
e3c24ae1381c6fb20b0e4580ce0f3962fd1a856f;commit e3c24ae1381c6fb20b0e4580ce0f3962fd1a856f 1679371479 -----sp;Improve group and flush add-responses after journal sync (#3848);;2023-03-21;Yan Zhao;14;
b3aca10deacf71cdca49c9939d54e8efbdaa58ef;commit b3aca10deacf71cdca49c9939d54e8efbdaa58ef 1679335158 -----sp;Add log for entry log file delete. (#3872);;2023-03-20;Yan Zhao;14;
234b817cdb4e054887ffd5e42eaed25dc02daf63;commit 234b817cdb4e054887ffd5e42eaed25dc02daf63 1679333891 -----sp;Single buffer for small add requests (#3783);;2023-03-20;Matteo Merli;14;
e19cb9d822c316a13cbf015fd4a627fce44172be;commit e19cb9d822c316a13cbf015fd4a627fce44172be 1679330577 -----sp;Fix compaction threshold default value precision problem. (#3871);;2023-03-20;Yan Zhao;14;
dda42a3a33546907a63cd6efa1f89aa3ddcb6717;commit dda42a3a33546907a63cd6efa1f89aa3ddcb6717 1679330396 -----sp;Enable CI for the streamstorage python client (#3875);;2023-03-20;Yong Zhang;14;
c3e5bfe431c1d0c6b0dba6d56b6b1b19dec0ecdd;commit c3e5bfe431c1d0c6b0dba6d56b6b1b19dec0ecdd 1679043734 -----sp;[Bugfix] make metadataDriver initialization more robust (#3873);;2023-03-17;ZanderXu;14;
a633ec4bd8d69dc991148099ce4dbb6fc802ca88;commit a633ec4bd8d69dc991148099ce4dbb6fc802ca88 1678964194 -----sp;Change order of doGcLedgers and extractMetaFromEntryLogs (#3869);;2023-03-16;Andrey Yegorov;14;
