Release,FileName,sizeLoc,locTouched,numR,numFix,numAuth,locAdded,avgLocAdded,maxLocAdded,churn,maxChurn,avgChurn,age,weightedAge,Bugginess
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,121,267,4,0,2,137,137.0,137,105,105,35.0,35,0.13108614232209737,false
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,215,340,5,1,2,252,252.0,252,252,252,42.0,35,0.10294117647058823,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,950,717,14,5,3,337,56.166668,330,321,318,18.263159,35,0.04881450488145049,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,78,40,3,0,3,11,2.2,6,11,11,4.2,35,0.875,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,170,27,4,2,2,11,5.5,8,11,8,5.5,35,1.2962962962962963,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,441,153,9,4,3,20,20.0,20,13,13,4.3333335,35,0.22875816993464052,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,185,86,5,1,3,79,79.0,79,79,79,26.333334,35,0.4069767441860465,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,516,91,7,3,3,5,1.6666666,3,-1,3,-1.4545455,35,0.38461538461538464,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,132,35,5,0,3,15,15.0,15,15,15,5.0,35,1.0,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,152,13,3,0,3,6,3.0,6,6,6,3.0,35,2.6923076923076925,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,124,0,1,0,1,0,0.0,0,0,0,0.0,35,0.0,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,123,155,5,0,3,13,13.0,13,1,1,0.25,35,0.22580645161290322,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,241,31,4,0,3,22,3.6666667,10,22,12,6.1666665,35,1.1290322580645162,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,495,759,9,1,3,177,177.0,177,48,48,6.857143,35,0.0461133069828722,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,694,990,6,2,2,840,420.0,838,781,830,13.411765,5,0.005050505050505051,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,174,8,4,1,2,0,0.0,0,0,0,0.0,35,4.375,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,42,3,2,0,2,0,0.0,0,0,0,0.0,35,11.666666666666666,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,148,23,5,0,3,0,0.0,0,0,0,0.0,35,1.5217391304347827,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,55,5,3,0,3,0,0.0,0,0,0,0.0,35,7.0,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,139,47,8,3,3,1,1.0,1,-3,1,-2.75,35,0.7446808510638298,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,71,13,4,1,3,0,0.0,0,-1,0,-0.6666667,35,2.6923076923076925,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,71,51,3,0,2,0,0.0,0,-1,0,-0.25,35,0.6862745098039216,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,674,1000,12,3,3,158,158.0,158,73,73,14.6,35,0.035,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,215,90,7,1,3,37,37.0,37,37,37,12.333333,35,0.3888888888888889,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,153,94,9,3,3,10,10.0,10,8,9,2.3333333,35,0.3723404255319149,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,167,46,6,1,3,10,10.0,10,10,10,3.3333333,35,0.7608695652173914,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,53,9,4,1,3,0,0.0,0,0,0,0.0,35,3.888888888888889,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,141,44,4,0,3,17,17.0,17,17,17,5.6666665,35,0.7954545454545454,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,144,23,4,0,3,1,1.0,1,1,1,0.33333334,35,1.5217391304347827,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,91,133,6,2,2,103,103.0,103,97,97,32.333332,18,0.13533834586466165,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,70,78,1,0,1,78,39.0,78,78,78,39.0,3,0.038461538461538464,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,69,1,2,0,2,0,0.0,0,0,0,0.0,35,35.0,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,71,1,2,0,2,0,0.0,0,0,0,0.0,35,35.0,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,93,106,2,1,1,101,33.666668,61,101,61,26.25,2,0.018867924528301886,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,195,224,4,3,2,216,216.0,216,216,216,108.0,2,0.008928571428571428,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,341,397,4,3,2,377,377.0,377,377,377,188.5,2,0.005037783375314861,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,232,255,2,2,1,251,251.0,251,251,251,83.666664,1,0.00392156862745098,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,174,193,1,1,1,193,96.5,193,193,193,96.5,1,0.0051813471502590676,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,477,514,1,1,1,514,257.0,514,514,514,257.0,1,0.0019455252918287938,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,175,204,1,1,1,204,102.0,204,204,204,102.0,1,0.004901960784313725,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,130,144,1,1,1,144,72.0,144,144,144,72.0,1,0.006944444444444444,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,91,98,1,1,1,98,49.0,98,98,98,49.0,1,0.01020408163265306,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,157,27,7,2,3,3,1.5,2,1,1,0.75,35,1.2962962962962963,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,137,87,4,0,3,76,25.333334,65,76,65,25.666666,35,0.40229885057471265,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,355,297,11,3,3,179,89.5,177,162,160,41.5,35,0.11784511784511785,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,114,82,3,1,3,75,15.0,66,75,75,18.8,35,0.4268292682926829,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,468,36,8,2,3,10,3.3333333,7,9,6,3.1666667,35,0.9722222222222222,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,509,119,9,3,3,24,8.0,17,15,8,4.8,35,0.29411764705882354,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,121,0,1,0,1,0,0.0,0,0,0,0.0,35,0.0,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,164,11,3,0,2,0,0.0,0,0,0,0.0,35,3.1818181818181817,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,137,11,3,0,2,0,0.0,0,0,0,0.0,35,3.1818181818181817,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,83,748,6,1,3,4,4.0,4,-673,0,-224.33333,35,0.04679144385026738,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,207,237,6,1,3,24,24.0,24,20,20,6.6666665,35,0.14767932489451477,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,47,5,3,1,3,0,0.0,0,0,0,0.0,35,7.0,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,30,5,2,0,2,0,0.0,0,0,0,0.0,35,7.0,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,83,4,2,0,2,0,0.0,0,0,0,0.0,35,8.75,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,32,11,3,0,2,0,0.0,0,0,0,0.0,35,3.1818181818181817,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,59,29,3,1,3,0,0.0,0,-25,0,-10.0,35,1.206896551724138,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,83,94,1,1,1,94,47.0,94,94,94,47.0,1,0.010638297872340425,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java,237,291,3,1,1,246,246.0,246,246,246,82.0,3,0.010309278350515464,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,81,90,1,1,1,90,45.0,90,90,90,45.0,1,0.011111111111111112,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,64,74,4,1,2,70,23.333334,65,70,65,14.6,16,0.21621621621621623,false
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,549,252,5,2,2,197,197.0,197,188,191,13.333333,3,0.011904761904761904,true
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java,123,13,4,1,2,2,2.0,2,2,2,1.0,5,0.38461538461538464,true
