Dataset,#TrainingRelease,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,FeatureSelection,Sensitivity,TP,FP,TN,FN,Precision,Recall,ROC,Kappa
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,NO_RESAMPLING,NO_SELECTION,NO_SENSITIVE,18.0,39.0,242.0,9.0,0.3157894736842105,0.6666666666666666,0.8600896269935416,0.3514082653329822
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,NO_RESAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,18.0,39.0,242.0,9.0,0.3157894736842105,0.6666666666666666,0.763938315539739,0.3514082653329822
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,NO_RESAMPLING,NO_SELECTION,SENSITIVE_LEARNING,27.0,100.0,181.0,0.0,0.2125984251968504,1.0,0.9018057203110584,0.2408931828264405
Bookkeeper,1,43.79562,20.0,8.766233,IBK,NO_RESAMPLING,NO_SELECTION,NO_SENSITIVE,11.0,129.0,152.0,16.0,0.07857142857142857,0.4074074074074074,0.5369711348359035,-0.017868538608806578
Bookkeeper,1,43.79562,20.0,8.766233,IBK,NO_RESAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,11.0,129.0,152.0,16.0,0.07857142857142857,0.4074074074074074,0.474166337155661,-0.017868538608806578
Bookkeeper,1,43.79562,20.0,8.766233,IBK,NO_RESAMPLING,NO_SELECTION,SENSITIVE_LEARNING,26.0,104.0,177.0,1.0,0.2,0.9629629629629629,0.8672070647159615,0.21763112057286627
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,NO_RESAMPLING,NO_SELECTION,NO_SENSITIVE,14.0,32.0,249.0,13.0,0.30434782608695654,0.5185185185185185,0.7991959931461711,0.30700000000000005
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,NO_RESAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,14.0,32.0,249.0,13.0,0.30434782608695654,0.5185185185185185,0.7023197574798998,0.30700000000000005
Bookkeeper,1,43.79562,20.0,8.766233,NAIVE_BAYES,NO_RESAMPLING,NO_SELECTION,SENSITIVE_LEARNING,27.0,86.0,195.0,0.0,0.23893805309734514,1.0,0.9093185712402794,0.28445621049219283
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,OVERSAMPLING,NO_SELECTION,NO_SENSITIVE,25.0,72.0,209.0,2.0,0.25773195876288657,0.9259259259259259,0.8991696322657177,0.3083692419736601
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,OVERSAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,25.0,72.0,209.0,2.0,0.25773195876288657,0.9259259259259259,0.8348490839594043,0.3083692419736601
Bookkeeper,1,43.79562,20.0,8.766233,RANDOM_FOREST,OVERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,25.0,64.0,217.0,2.0,0.2808988764044944,0.9259259259259259,0.9016080137076579,0.3426039712825819
Bookkeeper,1,43.79562,20.0,8.766233,IBK,OVERSAMPLING,NO_SELECTION,NO_SENSITIVE,16.0,38.0,243.0,11.0,0.2962962962962963,0.5925925925925926,0.7344141294319231,0.3149963689179376
