Tickets ID; Date Creation; Resolution Date; Injected Version; Opening Version; Fixed Version; Affected Version
BOOKKEEPER-1105;2017-08-09;2017-08-16;12;12;13;12 - 
BOOKKEEPER-1104;2017-07-27;2017-07-28;12;12;12;
BOOKKEEPER-1103;2017-07-26;2017-07-28;12;12;12;12 - 
BOOKKEEPER-1102;2017-07-22;2017-08-01;12;12;12;12 - 
BOOKKEEPER-1101;2017-07-19;2017-07-19;;12;;
BOOKKEEPER-1098;2017-06-15;2017-06-28;;12;;
BOOKKEEPER-1079;2017-05-26;2017-05-26;12;12;12;12 - 
BOOKKEEPER-1077;2017-05-25;2017-05-26;12;12;12;
BOOKKEEPER-1075;2017-05-25;2017-05-25;12;12;12;
BOOKKEEPER-1074;2017-05-25;2017-06-01;12;12;12;
BOOKKEEPER-1073;2017-05-25;2017-06-01;12;12;12;
BOOKKEEPER-1072;2017-05-25;2017-05-25;;12;;
BOOKKEEPER-1071;2017-05-18;2017-06-01;12;12;12;12 - 
BOOKKEEPER-1061;2017-05-10;2017-05-15;12;12;12;
BOOKKEEPER-1058;2017-05-10;2017-05-15;12;12;12;
BOOKKEEPER-1047;2017-05-04;2017-05-15;12;12;12;
BOOKKEEPER-1044;2017-04-25;2017-07-25;12;12;12;
BOOKKEEPER-1031;2017-04-10;2017-04-11;11;12;12;11 - 
BOOKKEEPER-1021;2017-04-03;2017-05-26;12;12;12;
BOOKKEEPER-1020;2017-04-01;2017-04-03;12;12;12;12 - 
BOOKKEEPER-1018;2017-03-27;2017-04-03;12;12;12;
BOOKKEEPER-1013;2017-03-23;2017-03-23;12;12;12;
BOOKKEEPER-999;2017-02-08;2017-03-23;11;12;12;11 - 
BOOKKEEPER-989;2016-12-20;2017-06-01;12;12;12;
BOOKKEEPER-988;2016-12-18;2016-12-20;12;12;12;
BOOKKEEPER-987;2016-12-16;2016-12-17;12;12;12;12 - 
BOOKKEEPER-986;2016-12-13;2016-12-21;12;12;12;
BOOKKEEPER-984;2016-12-10;2016-12-17;12;12;12;
BOOKKEEPER-980;2016-11-29;2017-07-18;12;12;12;
BOOKKEEPER-959;2016-10-20;2017-01-31;11;12;12;11 - 
BOOKKEEPER-958;2016-10-20;2016-11-09;12;12;12;
BOOKKEEPER-957;2016-10-20;2016-11-09;12;12;12;
BOOKKEEPER-956;2016-10-19;2016-11-09;12;12;12;
BOOKKEEPER-955;2016-10-19;2016-11-30;12;12;12;
BOOKKEEPER-952;2016-10-14;2016-10-20;12;12;12;
BOOKKEEPER-940;2016-07-12;2016-07-14;12;12;12;12 - 
BOOKKEEPER-939;2016-07-11;2016-07-12;12;12;12;
BOOKKEEPER-938;2016-07-08;2016-08-01;12;12;12;12 - 
BOOKKEEPER-933;2016-06-17;2016-07-31;12;12;12;
BOOKKEEPER-927;2016-05-16;2017-05-24;10;11;12;10 - 
BOOKKEEPER-926;2016-04-30;2016-05-04;9;11;11;9 - 
BOOKKEEPER-925;2016-04-27;2016-04-30;11;11;11;
BOOKKEEPER-924;2016-04-22;2016-10-13;10;11;12;10 - 
BOOKKEEPER-921;2016-04-11;2016-04-27;11;11;11;11 - 
BOOKKEEPER-919;2016-04-07;2016-04-27;;11;;
BOOKKEEPER-917;2016-04-07;2016-04-10;11;11;11;11 - 
BOOKKEEPER-914;2016-04-06;2016-04-07;11;11;11;
BOOKKEEPER-913;2016-04-05;2016-04-10;11;11;11;
BOOKKEEPER-911;2016-04-02;2016-04-27;10;11;11;10 - 
BOOKKEEPER-910;2016-04-01;2016-04-11;10;11;11;10 - 
BOOKKEEPER-909;2016-03-31;2016-03-31;10;11;11;10 - 
BOOKKEEPER-908;2016-03-29;2016-07-11;10;11;12;10 - 
BOOKKEEPER-907;2016-03-17;2017-01-30;11;11;12;
BOOKKEEPER-904;2016-03-14;2016-04-06;11;11;11;11 - 
BOOKKEEPER-903;2016-03-09;2016-11-09;11;11;12;
BOOKKEEPER-902;2016-03-08;2016-03-14;11;11;11;
BOOKKEEPER-900;2016-02-29;2016-03-08;10;11;;10 - 
BOOKKEEPER-899;2016-02-28;2016-03-08;10;11;;10 - 
BOOKKEEPER-898;2016-02-28;2016-03-08;10;11;11;10 - 
BOOKKEEPER-897;2016-02-23;2016-02-24;11;11;11;
BOOKKEEPER-893;2016-02-08;2016-02-09;10;11;11;10 - 
BOOKKEEPER-891;2016-02-05;2016-02-09;11;11;11;
BOOKKEEPER-890;2016-02-03;2016-02-09;10;11;11;10 - 
BOOKKEEPER-884;2016-01-12;2016-01-12;;11;;
BOOKKEEPER-883;2015-11-26;2016-02-09;11;11;11;
BOOKKEEPER-872;2015-09-21;2015-10-10;10;10;10;
BOOKKEEPER-863;2015-08-06;2015-08-12;10;10;10;
BOOKKEEPER-859;2015-06-21;2016-05-16;1;10;;1 - 7 - 
BOOKKEEPER-858;2015-05-30;2015-06-02;10;10;10;
BOOKKEEPER-854;2015-05-19;2015-05-20;9;9;9;
BOOKKEEPER-852;2015-04-11;2017-03-28;7;9;12;7 - 
BOOKKEEPER-848;2015-04-10;2015-04-21;7;9;9;7 - 
BOOKKEEPER-847;2015-03-28;2015-04-21;9;9;9;
BOOKKEEPER-840;2015-03-10;2015-03-18;9;9;9;
BOOKKEEPER-839;2015-02-24;2015-03-12;9;9;9;
BOOKKEEPER-838;2015-02-21;2015-02-23;9;9;9;
BOOKKEEPER-835;2015-01-16;2015-05-19;9;9;9;
BOOKKEEPER-834;2015-01-13;2015-03-18;9;9;9;
BOOKKEEPER-833;2014-12-23;2015-04-21;9;9;9;
BOOKKEEPER-831;2014-12-17;2015-03-12;9;9;9;
BOOKKEEPER-829;2014-12-17;2015-08-23;;9;;
BOOKKEEPER-828;2014-12-16;2015-03-18;9;9;9;
BOOKKEEPER-823;2014-12-10;2015-07-07;9;9;10;
BOOKKEEPER-821;2014-12-08;2015-05-20;7;9;9;7 - 
BOOKKEEPER-815;2014-12-04;2014-12-05;7;9;9;7 - 8 - 
BOOKKEEPER-814;2014-12-04;2014-12-10;7;9;9;7 - 
BOOKKEEPER-813;2014-12-04;2014-12-06;7;9;9;7 - 
BOOKKEEPER-809;2014-12-04;2014-12-06;7;9;9;7 - 
BOOKKEEPER-805;2014-11-25;2014-12-06;7;9;9;7 - 
BOOKKEEPER-804;2014-11-24;2014-12-06;7;9;9;7 - 
BOOKKEEPER-803;2014-11-21;2014-12-12;9;9;9;
BOOKKEEPER-802;2014-11-21;2015-09-07;9;9;10;
BOOKKEEPER-801;2014-11-21;2014-12-12;9;9;9;
BOOKKEEPER-800;2014-11-21;2014-12-05;9;9;9;
BOOKKEEPER-799;2014-11-21;2014-12-09;9;9;9;
BOOKKEEPER-798;2014-11-19;2014-12-02;;9;;
BOOKKEEPER-797;2014-11-19;2014-11-19;7;9;9;7 - 
BOOKKEEPER-795;2014-10-27;2014-12-09;9;9;9;
BOOKKEEPER-794;2014-10-17;2016-04-05;;9;;
BOOKKEEPER-793;2014-10-13;2014-10-15;9;9;9;
BOOKKEEPER-786;2014-09-20;2014-09-22;9;9;9;
BOOKKEEPER-785;2014-09-17;2014-09-18;9;9;9;
BOOKKEEPER-784;2014-09-12;2014-09-18;9;9;9;
BOOKKEEPER-783;2014-09-12;2014-09-17;9;9;9;
BOOKKEEPER-780;2014-08-28;2014-09-04;9;9;9;
BOOKKEEPER-779;2014-08-28;2014-09-06;9;9;9;
BOOKKEEPER-778;2014-08-28;2014-09-09;9;9;9;
BOOKKEEPER-777;2014-08-28;2014-09-06;9;9;9;
BOOKKEEPER-774;2014-07-26;2014-08-14;9;9;9;
BOOKKEEPER-769;2014-06-19;2016-03-16;8;8;11;
BOOKKEEPER-768;2014-06-17;2014-07-15;6;8;9;6 - 
BOOKKEEPER-767;2014-06-04;2014-06-06;8;8;8;
BOOKKEEPER-766;2014-06-03;2014-06-05;8;8;8;
BOOKKEEPER-765;2014-06-03;2014-06-10;8;8;8;
