ShadID; Commit; Message; Ticket; Date; Authors; Version; Files
71e1ae796eaa89db9b32b3744b2f184eb5be6ed1;commit 71e1ae796eaa89db9b32b3744b2f184eb5be6ed1 1679990278 -----sp;Upgrading Commons JEXL;;2023-03-28;Francesco Chicchiriccò;74;
46da3261a6004456b4cd239cdc9622f94183aab0;commit 46da3261a6004456b4cd239cdc9622f94183aab0 1679927255 -----sp;[SYNCOPE-1746] Attaching SBOM generation to the release phase;;2023-03-27;Francesco Chicchiriccò;74;
d3f7b5d10be9757d6dcb6ff7ed36b091a3946c08;commit d3f7b5d10be9757d6dcb6ff7ed36b091a3946c08 1679923834 -----sp;Upgrading maven-resources-plugin and maven-deploy-plugin;;2023-03-27;Francesco Chicchiriccò;74;
9bb3895469c8c9bb478b0e0f190d36c9eb1bac0d;commit 9bb3895469c8c9bb478b0e0f190d36c9eb1bac0d 1679923834 -----sp;Upgrading Wicket jQuery UI, checkstyle;;2023-03-27;Francesco Chicchiriccò;74;
37db31c5ef93a212c623cfc40af74ea882006479;commit 37db31c5ef93a212c623cfc40af74ea882006479 1679923834 -----sp;Upgrading modernizer-maven-plugin;;2023-03-27;Francesco Chicchiriccò;74;
bdcb360bf8f2e6ef9a40ca13998a4d4f03d9efee;commit bdcb360bf8f2e6ef9a40ca13998a4d4f03d9efee 1679923834 -----sp;Upgrading Spring Boot;;2023-03-27;Francesco Chicchiriccò;74;
33d20820c6b53326e1b7ae8e283e804e83f8e7a1;commit 33d20820c6b53326e1b7ae8e283e804e83f8e7a1 1679923834 -----sp;Embedding the new SCIM connector bundle;;2023-03-27;Francesco Chicchiriccò;74;
29dcd13b7dec3448abbdb1f936be83be83d15063;commit 29dcd13b7dec3448abbdb1f936be83be83d15063 1679923834 -----sp;Cross-checking with JDK 20;;2023-03-27;Francesco Chicchiriccò;74;
4d153110726ec3e06ef262f96fd86843690aed9d;commit 4d153110726ec3e06ef262f96fd86843690aed9d 1679923834 -----sp;[SYNCOPE-1745] Managing ConnId bundles with one or more Connectors (#430);;2023-03-27;Francesco Chicchiriccò;74;
bee17cdcc506174a8d554317741ce4e4d54d0aab;commit bee17cdcc506174a8d554317741ce4e4d54d0aab 1679923834 -----sp;Upgrading cargo-maven3-plugin;;2023-03-27;Francesco Chicchiriccò;74;
ff16ff63e74eb8878da92e9cc219d59e6f28c3bc;commit ff16ff63e74eb8878da92e9cc219d59e6f28c3bc 1679923834 -----sp;Upgrading Swagger Core;;2023-03-27;Francesco Chicchiriccò;74;
542636390a6aed248b008277b26eae683eb4538b;commit 542636390a6aed248b008277b26eae683eb4538b 1679315345 -----sp;[SYNCOPE-1709] Provides job status truncate due to varchar length constraints (#429);;2023-03-20;Fabio Martelli;74;
767bdf5074b70b07ee086981925ef285b150afce;commit 767bdf5074b70b07ee086981925ef285b150afce 1679303357 -----sp;Upgrading Passay, JSoup and checkstyle;;2023-03-20;Francesco Chicchiriccò;74;
4b95adcb6402bc6d5f52c4e7cd019b4656dd06b3;commit 4b95adcb6402bc6d5f52c4e7cd019b4656dd06b3 1679067114 -----sp;[SYNCOPE-1742] Date wrapper missing;SYNCOPE-1742;2023-03-17;Francesco Chicchiriccò;74;
862a0067e057c38508a95376811f503db9f94f18;commit 862a0067e057c38508a95376811f503db9f94f18 1679065736 -----sp;[SYNCOPE-1743] Ticket Expiration Policy (#428);;2023-03-17;Francesco Chicchiriccò;74;
72ab59ebcf8edb0e2e595692c1e4b1df8f697d8e;commit 72ab59ebcf8edb0e2e595692c1e4b1df8f697d8e 1678971228 -----sp;[SYNCOPE-1741] Provides support for Azure Active Directory delegated authentication (#427);;2023-03-16;Fabio Martelli;74;
