TicketID; Commit; LastCommit; LastDateCommit
SYNCOPE-95;1;commit 47460136628e329bba21c4435acef27a64681026 1339688073 -----sp;2012-06-14
SYNCOPE-825;1;commit 826065f0610ea485b6d3bb91634e6e3dcb93e966 1461753920 -----sp;2016-04-27
SYNCOPE-1107;1;commit fc8a30b8573573b108208e459d92a45797fdf3c3 1497280570 -----sp;2017-06-12
SYNCOPE-1391;1;commit 65756405fe897eb8c0a35db2e1473bd7fb0cecdf 1542037768 -----sp;2018-11-12
SYNCOPE-1193;1;commit 81515d7e243e8116409e2be2cb6bf036a305f988 1502460414 -----sp;2017-08-11
SYNCOPE-817;2;commit 0139df76876234e593b8592502bcd476db50b407 1461254814 -----sp;2016-04-21
SYNCOPE-911;2;commit 51275d6192fed391dcbdc871d130b6eb2d50e0d9 1470055479 -----sp;2016-08-01
SYNCOPE-1231;1;commit 33daf27daa55a3dac382f811f916b4d9e5679b65 1510761757 -----sp;2017-11-15
SYNCOPE-1439;2;commit 431c351342e06aaf21a2984488b0259c891ff612 1551965727 -----sp;2019-03-07
SYNCOPE-1691;1;commit f092bb42453f40f7a169470dabedb32123b80652 1659527183 -----sp;2022-08-03
SYNCOPE-104;1;commit 0acf6a7f7f448ab4ffe3930aa179e47c120b3920 1341396457 -----sp;2012-07-04
SYNCOPE-876;1;commit ddc2f3a18034b50ea84c0349f52570bc5885eaf3 1466675225 -----sp;2016-06-23
SYNCOPE-96;1;commit 29db8d4e6ef19ff1d61bc6e03ec431bfdda86d45 1340200199 -----sp;2012-06-20
SYNCOPE-1048;1;commit 9fe5a756115a1caafee3261d914c6b3d4788503c 1489766389 -----sp;2017-03-17
SYNCOPE-336;2;commit 4cabd59ef5a9b4c73e910ba926e11cf360f4deee 1366992043 -----sp;2013-04-26
SYNCOPE-396;1;commit dfcb2632e95583dc35cb99f4cac19a363bff4b82 1372084185 -----sp;2013-06-24
SYNCOPE-532;3;commit 0b237956bdf5d49f83ea8a6f9c7a079d2a562101 1404727341 -----sp;2014-07-07
SYNCOPE-1448;1;commit 50469a15b51b99e6b1e52a05626f96e0b9ce6cdd 1553521407 -----sp;2019-03-25
SYNCOPE-1693;1;commit 4014601f040b4a48c46585e4259d968bce554ec8 1662029744 -----sp;2022-09-01
SYNCOPE-1263;2;commit 520cdca7cd744dc6919c8d28acabe58fc5b19491 1516617785 -----sp;2018-01-22
SYNCOPE-1657;1;commit c3a016d0f16b610726ebd07cf997ab294595b0b5 1643727941 -----sp;2022-02-01
SYNCOPE-1158;1;commit 3e90e38fd6519ac3b94a6ca3c4db9eab9434f1bd 1499866966 -----sp;2017-07-12
SYNCOPE-512;1;commit a79e1f3d38f5d308ba86c75028546d1ee30c484c 1403275047 -----sp;2014-06-20
SYNCOPE-1342;1;commit ae5a7ff2079610452bc64e7b05519cbfec87839b 1532334051 -----sp;2018-07-23
SYNCOPE-1644;2;commit 5ec4e92bf7f996f28cc2c655aa9671ef2889c137 1633083281 -----sp;2021-10-01
SYNCOPE-1726;1;commit eaad1f0f2a3a38bef705f917bd0014f758f701f7 1674640711 -----sp;2023-01-25
SYNCOPE-197;1;commit 9479176170aaf3b98f83cd3502552a04d27e3ec4 1346839130 -----sp;2012-09-05
SYNCOPE-462;2;commit 9dfcc57a1d33b0bb8be888050d42cac877d2e412 1391086760 -----sp;2014-01-30
SYNCOPE-863;1;commit e9d42f4ab157538001c90ab15df6416ba38f7538 1466697159 -----sp;2016-06-23
SYNCOPE-1544;2;commit 2ac89d97b64026ac656bd84e63e287c1812b7afc 1582734025 -----sp;2020-02-26
SYNCOPE-381;2;commit 25ad33a77ed4d3114260546f21c9dac36f1208e1 1370016434 -----sp;2013-05-31
SYNCOPE-556;2;commit 67a56d0a76d99301c10180ec4d0e08c263b976b0 1412275003 -----sp;2014-10-02
SYNCOPE-1503;1;commit 08a534d6464d78dbc24a9dd58dd04ecfcddb11a9 1571316880 -----sp;2019-10-17
SYNCOPE-1175;1;commit 0e4eed03e565107d7aa2801bc892aa099926fd82 1501240945 -----sp;2017-07-28
SYNCOPE-1419;4;commit 4a293350217a4c065781be22d8f8067729ab4df9 1545378670 -----sp;2018-12-21
SYNCOPE-1199;1;commit df4bd83c9d4c8374991a57e33a496e93aeaa0f12 1504596881 -----sp;2017-09-05
SYNCOPE-434;2;commit 3d0363f62bd3e7bad37bcd8dea70385dce7fa99f 1383842403 -----sp;2013-11-07
SYNCOPE-686;3;commit 8338f8fa4586f9f87368772ab060c39cd18352df 1440759635 -----sp;2015-08-28
SYNCOPE-71;1;commit e55959c62ac89e395c4c47ff2f24358438a4f15b 1335781628 -----sp;2012-04-30
SYNCOPE-414;1;commit bbe1419b837ac95b841c62588a388f321d4a9fbd 1379492800 -----sp;2013-09-18
SYNCOPE-306;1;commit 9778213812636ed23c2785d320cd6416b85d2fbb 1359728168 -----sp;2013-02-01
SYNCOPE-285;3;commit 23a34b4bcbd8aae74ad25e710b1d4654f22a0e65 1374836599 -----sp;2013-07-26
SYNCOPE-1683;1;commit e53341ed4d822ddc73e778be8556070a7102b8f0 1655814606 -----sp;2022-06-21
SYNCOPE-1134;1;commit 4e8680b3f11064035d7a2038e7d50d085145c78b 1498744708 -----sp;2017-06-29
SYNCOPE-77;1;commit 15ec3af5c91ac2a1d809cec87424f32b33bc25d6 1335970159 -----sp;2012-05-02
