Tickets ID; Date Creation; Resolution Date; Injected Version; Opening Version; Fixed Version; Affected Version
SYNCOPE-1763;2023-06-08;2023-06-16;;;;
SYNCOPE-1761;2023-05-30;2023-05-31;;;;76 - 
SYNCOPE-1757;2023-05-05;2023-05-09;75;75;;75 - 76 - 
SYNCOPE-1756;2023-05-05;2023-05-05;72;75;;72 - 
SYNCOPE-1755;2023-05-05;2023-05-05;;75;;76 - 
SYNCOPE-1750;2023-04-06;2023-04-12;72;75;;72 - 74 - 
SYNCOPE-1749;2023-04-03;2023-04-04;72;75;;72 - 74 - 
SYNCOPE-1742;2023-03-16;2023-03-17;74;75;75;74 - 
SYNCOPE-1739;2023-03-08;2023-03-08;74;75;75;74 - 
SYNCOPE-1737;2023-03-02;2023-03-04;74;75;75;74 - 
SYNCOPE-1736;2023-02-28;2023-03-04;72;75;75;72 - 74 - 
SYNCOPE-1735;2023-02-24;2023-02-24;74;75;75;74 - 
SYNCOPE-1734;2023-02-23;2023-02-24;72;75;75;72 - 74 - 
SYNCOPE-1731;2023-02-21;2023-02-21;72;75;75;72 - 74 - 
SYNCOPE-1730;2023-02-13;2023-02-13;73;74;74;73 - 
SYNCOPE-1727;2023-02-04;2023-02-04;72;74;74;72 - 73 - 
SYNCOPE-1726;2023-01-25;2023-02-01;73;74;74;73 - 
SYNCOPE-1725;2023-01-23;2023-01-23;73;74;74;73 - 
SYNCOPE-1715;2022-12-16;2022-12-16;71;73;73;71 - 
SYNCOPE-1712;2022-11-17;2022-11-17;71;72;72;71 - 
SYNCOPE-1711;2022-11-16;2022-11-17;71;72;72;71 - 
SYNCOPE-1707;2022-10-31;2022-10-31;70;71;71;70 - 69 - 
SYNCOPE-1706;2022-10-28;2022-10-29;67;71;71;67 - 69 - 
SYNCOPE-1704;2022-10-26;2022-10-26;67;70;70;67 - 69 - 
SYNCOPE-1701;2022-10-18;2022-10-18;68;70;70;68 - 69 - 
SYNCOPE-1693;2022-08-26;2022-09-01;67;69;69;67 - 68 - 
SYNCOPE-1691;2022-08-03;2022-08-03;66;67;67;66 - 
SYNCOPE-1690;2022-07-14;2022-07-14;67;67;67;68 - 
SYNCOPE-1684;2022-06-23;2022-06-27;67;67;67;68 - 
SYNCOPE-1683;2022-06-21;2022-06-21;66;67;67;66 - 68 - 
SYNCOPE-1677;2022-05-18;2022-05-19;67;67;67;68 - 
SYNCOPE-1676;2022-05-12;2022-05-12;67;67;67;68 - 
SYNCOPE-1672;2022-04-06;2022-04-06;67;67;67;68 - 
SYNCOPE-1671;2022-04-06;2022-04-06;66;67;67;66 - 
SYNCOPE-1664;2022-02-24;2022-02-25;65;66;66;65 - 68 - 
SYNCOPE-1663;2022-02-05;2022-02-05;65;66;66;65 - 
SYNCOPE-1660;2022-01-27;2022-01-27;65;66;66;65 - 
SYNCOPE-1659;2022-01-20;2022-03-10;65;66;66;65 - 
SYNCOPE-1657;2022-01-17;2022-02-04;65;66;66;65 - 
SYNCOPE-1656;2022-01-12;2022-03-17;65;66;66;65 - 
SYNCOPE-1654;2021-11-29;2021-11-29;65;66;66;65 - 
SYNCOPE-1651;2021-11-24;2021-11-24;65;66;66;65 - 
SYNCOPE-1650;2021-11-12;2021-11-12;65;66;66;65 - 
SYNCOPE-1649;2021-11-10;2021-11-10;65;66;66;65 - 
SYNCOPE-1648;2021-11-05;2021-11-05;65;66;66;65 - 
SYNCOPE-1644;2021-09-28;2021-09-28;64;65;65;64 - 
SYNCOPE-1643;2021-09-17;2021-09-17;64;65;65;64 - 
SYNCOPE-1640;2021-08-12;2021-08-14;61;65;65;61 - 64 - 
SYNCOPE-1635;2021-05-20;2021-05-21;60;65;65;60 - 64 - 
SYNCOPE-1634;2021-05-18;2021-05-18;60;65;65;60 - 64 - 
SYNCOPE-1629;2021-04-15;2021-04-15;64;65;65;64 - 
SYNCOPE-1628;2021-04-14;2021-04-14;61;65;65;61 - 64 - 
SYNCOPE-1627;2021-04-12;2021-04-13;;65;;
SYNCOPE-1626;2021-04-02;2021-04-05;64;64;64;
SYNCOPE-1623;2021-03-19;2021-03-19;;64;;
SYNCOPE-1622;2021-03-17;2021-03-17;61;64;64;61 - 63 - 
SYNCOPE-1620;2021-03-04;2021-03-04;61;64;64;61 - 63 - 
SYNCOPE-1619;2021-02-26;2021-02-26;63;64;64;63 - 
SYNCOPE-1616;2021-02-05;2021-02-05;62;64;64;62 - 63 - 
SYNCOPE-1613;2021-01-26;2021-01-26;54;64;64;54 - 
SYNCOPE-1612;2021-01-25;2021-02-16;64;64;66;68 - 
SYNCOPE-1607;2021-01-08;2021-01-08;61;64;64;61 - 63 - 
SYNCOPE-1606;2020-12-22;2020-12-22;63;64;64;63 - 
SYNCOPE-1605;2020-12-01;2020-12-02;62;63;63;62 - 68 - 
SYNCOPE-1604;2020-11-24;2020-11-25;62;63;63;62 - 
SYNCOPE-1603;2020-11-19;2020-11-19;62;63;63;62 - 
SYNCOPE-1602;2020-11-18;2020-11-18;62;63;63;62 - 
SYNCOPE-1601;2020-11-17;2020-11-17;62;63;63;62 - 
SYNCOPE-1598;2020-11-05;2020-11-05;61;63;63;61 - 62 - 
SYNCOPE-1596;2020-10-26;2020-10-26;62;63;63;62 - 
SYNCOPE-1590;2020-09-14;2020-09-14;62;63;;62 - 
SYNCOPE-1586;2020-09-08;2020-09-08;60;61;61;60 - 
SYNCOPE-1583;2020-07-21;2020-07-22;59;61;61;59 - 60 - 
SYNCOPE-1581;2020-07-17;2020-07-17;60;61;;60 - 
SYNCOPE-1573;2020-06-30;2020-06-30;59;61;61;59 - 60 - 
SYNCOPE-1569;2020-06-11;2020-06-11;60;61;61;60 - 
SYNCOPE-1567;2020-05-19;2020-05-20;59;61;61;59 - 60 - 
SYNCOPE-1565;2020-05-18;2020-06-04;59;61;61;59 - 60 - 
SYNCOPE-1564;2020-05-18;2020-05-19;59;61;61;59 - 60 - 
SYNCOPE-1563;2020-05-15;2020-05-15;60;61;61;60 - 
SYNCOPE-1561;2020-05-13;2020-05-13;60;61;61;60 - 
SYNCOPE-1560;2020-05-12;2020-05-12;59;61;61;59 - 60 - 
SYNCOPE-1554;2020-04-17;2020-04-23;58;59;59;58 - 
SYNCOPE-1549;2020-03-19;2020-08-24;57;59;;57 - 58 - 
SYNCOPE-1546;2020-03-06;2020-03-06;57;59;59;57 - 58 - 
SYNCOPE-1544;2020-02-20;2020-02-26;58;59;59;58 - 
SYNCOPE-1542;2020-02-13;2020-03-17;58;59;59;58 - 
SYNCOPE-1539;2020-02-03;2020-02-04;57;59;59;57 - 58 - 
SYNCOPE-1538;2020-01-31;2020-02-20;58;59;59;58 - 
SYNCOPE-1537;2020-01-30;2020-02-26;58;59;59;58 - 
SYNCOPE-1536;2020-01-28;2020-01-28;58;59;59;58 - 
SYNCOPE-1533;2020-01-14;2020-01-15;58;59;59;58 - 
SYNCOPE-1526;2019-12-12;2019-12-12;57;59;59;57 - 58 - 
SYNCOPE-1525;2019-12-12;2019-12-12;57;59;59;57 - 58 - 
SYNCOPE-1524;2019-12-11;2019-12-12;57;59;;57 - 58 - 
SYNCOPE-1520;2019-12-02;2019-12-02;58;59;59;58 - 
SYNCOPE-1512;2019-11-18;2019-11-23;58;59;59;58 - 
SYNCOPE-1505;2019-10-29;2019-11-08;57;59;59;57 - 58 - 68 - 
SYNCOPE-1504;2019-10-15;2019-10-15;58;59;59;58 - 
SYNCOPE-1503;2019-10-10;2019-10-17;58;59;59;58 - 
SYNCOPE-1493;2019-09-10;2019-09-10;55;57;57;55 - 56 - 
SYNCOPE-1492;2019-09-09;2019-09-10;57;57;57;
SYNCOPE-1488;2019-09-09;2019-09-10;57;57;57;68 - 
SYNCOPE-1487;2019-09-09;2019-09-10;55;57;57;55 - 56 - 68 - 
SYNCOPE-1485;2019-09-04;2019-09-04;55;57;57;55 - 56 - 
SYNCOPE-1484;2019-09-03;2019-09-03;57;57;57;68 - 
SYNCOPE-1483;2019-09-03;2019-09-03;57;57;57;68 - 
SYNCOPE-1481;2019-08-07;2019-08-13;55;57;57;55 - 56 - 
SYNCOPE-1480;2019-07-25;2019-09-11;55;57;57;55 - 56 - 
SYNCOPE-1478;2019-06-25;2019-09-11;56;57;57;56 - 
SYNCOPE-1477;2019-06-05;2019-06-05;55;57;57;55 - 56 - 
SYNCOPE-1476;2019-06-03;2019-06-04;55;57;59;55 - 56 - 
SYNCOPE-1475;2019-05-29;2019-05-30;55;57;;55 - 
SYNCOPE-1474;2019-05-24;2019-09-11;56;57;57;56 - 
SYNCOPE-1472;2019-05-17;2019-05-21;55;57;57;55 - 56 - 
SYNCOPE-1470;2019-05-07;2019-05-07;56;57;57;56 - 
SYNCOPE-1469;2019-05-07;2019-05-07;56;57;57;56 - 
SYNCOPE-1467;2019-05-03;2019-05-07;55;57;57;55 - 56 - 
SYNCOPE-1462;2019-04-29;2019-06-06;56;57;;56 - 
SYNCOPE-1461;2019-04-16;2019-10-23;55;55;59;56 - 
SYNCOPE-1457;2019-04-05;2019-04-08;53;55;55;53 - 54 - 
SYNCOPE-1454;2019-04-02;2019-04-02;53;55;55;53 - 54 - 
SYNCOPE-1453;2019-03-27;2019-03-27;53;55;55;53 - 54 - 
SYNCOPE-1452;2019-03-25;2019-03-26;53;55;55;53 - 54 - 
SYNCOPE-1450;2019-03-12;2019-03-12;53;55;55;53 - 54 - 
SYNCOPE-1448;2019-03-11;2019-03-25;54;55;55;54 - 
SYNCOPE-1447;2019-03-11;2019-03-11;54;55;55;54 - 
SYNCOPE-1446;2019-03-08;2019-03-12;54;55;55;54 - 
SYNCOPE-1443;2019-02-28;2019-03-04;53;55;55;53 - 54 - 
SYNCOPE-1442;2019-02-26;2019-03-04;53;55;55;53 - 54 - 
SYNCOPE-1440;2019-02-21;2019-03-04;53;55;55;53 - 54 - 
SYNCOPE-1439;2019-02-20;2019-03-07;53;55;55;53 - 54 - 
SYNCOPE-1438;2019-02-20;2019-02-20;53;55;55;53 - 54 - 
SYNCOPE-1437;2019-02-19;2019-02-20;54;55;55;54 - 
SYNCOPE-1432;2019-02-05;2019-03-04;54;55;55;54 - 
SYNCOPE-1431;2019-02-05;2019-02-05;54;55;55;54 - 
SYNCOPE-1430;2019-01-28;2019-01-29;53;55;55;53 - 54 - 
SYNCOPE-1429;2019-01-25;2019-01-30;53;55;55;53 - 54 - 
SYNCOPE-1428;2019-01-25;2019-01-25;53;55;55;53 - 54 - 
SYNCOPE-1425;2019-01-17;2019-01-17;51;53;53;51 - 52 - 
SYNCOPE-1420;2018-12-21;2018-12-21;51;53;53;51 - 52 - 
SYNCOPE-1419;2018-12-20;2018-12-21;51;53;53;51 - 52 - 
SYNCOPE-1417;2018-12-13;2018-12-14;51;53;53;51 - 52 - 
SYNCOPE-1411;2018-12-10;2018-12-10;51;53;53;51 - 52 - 
SYNCOPE-1408;2018-12-05;2018-12-05;51;53;53;51 - 52 - 
SYNCOPE-1407;2018-12-04;2018-12-04;51;53;53;51 - 52 - 
SYNCOPE-1406;2018-12-03;2018-12-03;52;53;53;52 - 
SYNCOPE-1405;2018-12-03;2018-12-03;51;53;53;51 - 52 - 
SYNCOPE-1404;2018-11-28;2018-11-28;53;53;53;
SYNCOPE-1399;2018-11-20;2018-11-20;53;53;53;
SYNCOPE-1398;2018-11-19;2018-11-20;51;53;;51 - 
SYNCOPE-1393;2018-11-05;2018-11-05;49;53;53;49 - 50 - 
SYNCOPE-1391;2018-11-02;2018-11-12;51;51;53;51 - 52 - 
SYNCOPE-1390;2018-11-01;2018-11-02;49;51;51;49 - 50 - 
SYNCOPE-1389;2018-10-24;2018-10-24;49;51;51;49 - 50 - 
SYNCOPE-1388;2018-10-23;2018-10-30;46;51;51;46 - 50 - 
SYNCOPE-1387;2018-10-23;2018-10-23;46;51;51;46 - 
SYNCOPE-1383;2018-10-11;2018-10-11;49;51;51;49 - 50 - 
SYNCOPE-1380;2018-10-10;2018-10-10;49;51;51;49 - 50 - 
SYNCOPE-1377;2018-10-01;2018-10-01;49;51;51;49 - 50 - 
SYNCOPE-1376;2018-09-27;2018-10-05;49;51;51;49 - 50 - 
SYNCOPE-1375;2018-09-26;2018-09-26;49;51;51;49 - 50 - 
SYNCOPE-1374;2018-09-20;2018-09-20;49;51;51;49 - 50 - 
SYNCOPE-1373;2018-09-17;2018-09-20;48;51;51;48 - 50 - 
SYNCOPE-1372;2018-09-17;2018-09-17;49;51;51;49 - 50 - 
SYNCOPE-1371;2018-09-13;2018-09-13;50;51;51;50 - 
SYNCOPE-1370;2018-09-12;2018-09-12;49;51;51;49 - 50 - 
SYNCOPE-1366;2018-09-05;2018-09-05;49;51;51;49 - 50 - 
SYNCOPE-1365;2018-09-05;2018-09-05;50;51;51;50 - 
SYNCOPE-1364;2018-09-05;2018-09-05;50;51;;50 - 
SYNCOPE-1363;2018-09-05;2018-09-05;50;51;51;50 - 
SYNCOPE-1362;2018-09-05;2018-09-05;50;51;51;50 - 
SYNCOPE-1361;2018-09-04;2018-09-05;49;51;51;49 - 50 - 
SYNCOPE-1360;2018-09-03;2018-09-03;49;51;51;49 - 50 - 
SYNCOPE-1358;2018-08-16;2018-08-16;47;49;49;47 - 48 - 
SYNCOPE-1357;2018-08-16;2018-08-16;47;49;49;47 - 48 - 
SYNCOPE-1356;2018-08-16;2018-08-16;47;49;49;47 - 48 - 
SYNCOPE-1354;2018-08-13;2018-08-13;47;49;49;47 - 48 - 
SYNCOPE-1353;2018-08-11;2018-08-11;47;49;49;47 - 48 - 
SYNCOPE-1352;2018-08-10;2018-08-10;47;49;49;47 - 48 - 
SYNCOPE-1350;2018-08-09;2018-08-09;47;49;49;47 - 48 - 
SYNCOPE-1347;2018-07-31;2018-07-31;47;49;49;47 - 48 - 
SYNCOPE-1346;2018-07-26;2018-07-27;47;49;49;47 - 48 - 
SYNCOPE-1344;2018-07-24;2018-07-24;49;49;49;49 - 50 - 
SYNCOPE-1343;2018-07-24;2018-07-26;47;49;49;47 - 48 - 
SYNCOPE-1342;2018-07-22;2018-07-23;48;49;49;48 - 
SYNCOPE-1340;2018-07-20;2018-07-21;47;49;49;47 - 48 - 
SYNCOPE-1339;2018-07-16;2018-08-08;47;49;49;47 - 48 - 
SYNCOPE-1338;2018-07-16;2018-07-16;47;49;49;47 - 48 - 
SYNCOPE-1337;2018-07-13;2018-07-13;47;49;49;47 - 48 - 
SYNCOPE-1335;2018-07-11;2018-07-11;48;49;49;48 - 
SYNCOPE-1334;2018-07-10;2018-07-10;48;49;49;48 - 
SYNCOPE-1333;2018-07-09;2018-07-10;47;49;49;47 - 48 - 
SYNCOPE-1331;2018-07-06;2018-07-06;48;49;49;48 - 
SYNCOPE-1330;2018-07-02;2018-07-02;48;48;48;
SYNCOPE-1326;2018-06-22;2018-06-22;46;47;47;46 - 48 - 
SYNCOPE-1321;2018-06-11;2018-06-20;46;47;47;46 - 
SYNCOPE-1320;2018-06-01;2018-06-01;46;47;47;46 - 
SYNCOPE-1319;2018-05-29;2018-05-29;46;47;47;46 - 
SYNCOPE-1318;2018-05-29;2018-05-29;46;47;47;46 - 
SYNCOPE-1317;2018-05-27;2018-05-28;46;47;;46 - 
SYNCOPE-1315;2018-05-22;2018-05-28;46;47;47;46 - 
SYNCOPE-1314;2018-05-22;2018-05-24;46;47;47;46 - 
SYNCOPE-1312;2018-05-15;2018-05-28;46;47;47;46 - 
SYNCOPE-1309;2018-05-11;2018-05-29;46;47;47;46 - 
SYNCOPE-1308;2018-05-03;2018-05-07;46;47;47;46 - 
SYNCOPE-1307;2018-04-26;2018-04-26;46;47;47;46 - 
SYNCOPE-1306;2018-04-24;2018-04-26;46;47;47;46 - 
SYNCOPE-1304;2018-04-23;2018-04-23;46;47;47;46 - 
SYNCOPE-1303;2018-04-23;2018-04-23;47;47;47;
SYNCOPE-1301;2018-04-12;2018-04-13;46;47;47;46 - 
SYNCOPE-1298;2018-04-10;2018-04-10;46;47;47;46 - 
SYNCOPE-1297;2018-04-09;2018-06-08;46;47;47;46 - 
SYNCOPE-1296;2018-04-06;2018-04-09;47;47;47;
SYNCOPE-1294;2018-04-04;2018-04-04;46;47;47;46 - 48 - 
SYNCOPE-1293;2018-04-04;2018-04-05;45;47;47;45 - 46 - 
SYNCOPE-1291;2018-04-03;2018-04-03;46;47;47;46 - 
SYNCOPE-1290;2018-04-02;2018-04-03;46;47;;46 - 
SYNCOPE-1288;2018-03-29;2018-04-05;47;47;47;
SYNCOPE-1285;2018-03-22;2018-03-22;46;47;47;46 - 
SYNCOPE-1282;2018-03-15;2018-03-15;46;47;47;46 - 
SYNCOPE-1276;2018-02-13;2018-02-20;44;45;45;44 - 
SYNCOPE-1275;2018-02-12;2018-02-21;44;45;45;44 - 
SYNCOPE-1272;2018-02-09;2018-02-12;44;45;45;44 - 
SYNCOPE-1269;2018-02-06;2018-02-22;44;45;45;44 - 
SYNCOPE-1266;2018-01-30;2018-01-30;44;45;45;44 - 
SYNCOPE-1265;2018-01-29;2018-01-29;44;45;45;44 - 
SYNCOPE-1263;2018-01-22;2018-01-22;44;45;45;44 - 
SYNCOPE-1261;2018-01-04;2018-01-04;44;45;45;44 - 
SYNCOPE-1257;2017-12-28;2017-12-28;44;45;45;44 - 
SYNCOPE-1254;2017-12-20;2018-04-04;44;44;47;48 - 
SYNCOPE-1253;2017-12-18;2017-12-18;43;44;44;43 - 
SYNCOPE-1252;2017-12-18;2017-12-18;43;44;44;43 - 
SYNCOPE-1251;2017-12-14;2017-12-14;43;44;44;43 - 
SYNCOPE-1250;2017-12-13;2017-12-13;43;44;44;43 - 
SYNCOPE-1248;2017-12-12;2017-12-12;43;44;44;43 - 
SYNCOPE-1247;2017-12-07;2017-12-15;43;44;44;43 - 
SYNCOPE-1246;2017-12-07;2017-12-14;43;44;44;43 - 
SYNCOPE-1244;2017-12-03;2017-12-06;39;44;44;39 - 
SYNCOPE-1241;2017-12-01;2017-12-01;43;44;44;43 - 
SYNCOPE-1239;2017-11-25;2017-11-25;43;44;44;43 - 
SYNCOPE-1236;2017-11-15;2017-11-17;43;44;44;43 - 
SYNCOPE-1235;2017-11-15;2017-11-15;43;44;45;43 - 
SYNCOPE-1233;2017-11-09;2017-11-10;43;44;44;43 - 44 - 
SYNCOPE-1232;2017-11-02;2017-11-02;43;44;44;43 - 
SYNCOPE-1231;2017-10-31;2017-11-15;43;44;44;43 - 
SYNCOPE-1230;2017-10-31;2017-11-15;43;44;44;43 - 
SYNCOPE-1229;2017-10-31;2017-11-15;43;44;44;43 - 
SYNCOPE-1227;2017-10-27;2017-11-13;43;44;44;43 - 
SYNCOPE-1226;2017-10-24;2017-11-27;43;44;44;43 - 
SYNCOPE-1224;2017-10-16;2017-10-16;43;44;44;43 - 
SYNCOPE-1223;2017-10-12;2017-10-12;43;44;44;43 - 
SYNCOPE-1222;2017-10-11;2017-10-11;43;44;44;43 - 
SYNCOPE-1221;2017-10-11;2017-10-11;43;44;;43 - 
SYNCOPE-1217;2017-10-04;2017-10-04;42;43;43;42 - 
SYNCOPE-1216;2017-10-02;2017-10-02;43;43;43;
SYNCOPE-1215;2017-09-27;2017-09-28;42;43;43;42 - 
SYNCOPE-1214;2017-09-27;2017-09-27;42;43;43;42 - 
SYNCOPE-1213;2017-09-26;2017-10-03;42;43;43;42 - 
SYNCOPE-1211;2017-09-20;2017-09-22;35;43;43;35 - 42 - 
SYNCOPE-1210;2017-09-20;2017-09-20;38;43;43;38 - 42 - 
SYNCOPE-1207;2017-09-12;2017-09-14;42;43;43;42 - 
SYNCOPE-1206;2017-09-08;2017-09-08;42;43;43;42 - 
SYNCOPE-1205;2017-09-08;2017-09-29;42;43;43;42 - 
SYNCOPE-1203;2017-09-04;2017-09-05;42;42;42;42 - 
SYNCOPE-1199;2017-08-17;2017-09-04;39;42;42;39 - 41 - 
SYNCOPE-1193;2017-08-10;2017-08-11;41;42;42;41 - 
SYNCOPE-1190;2017-08-07;2017-08-17;41;42;44;41 - 
SYNCOPE-1189;2017-08-07;2017-08-08;41;42;42;41 - 
SYNCOPE-1188;2017-08-07;2017-08-08;41;42;42;41 - 
SYNCOPE-1184;2017-08-02;2017-08-03;41;42;;41 - 
SYNCOPE-1180;2017-07-28;2017-07-31;41;42;42;41 - 
SYNCOPE-1179;2017-07-28;2017-07-28;41;42;42;41 - 
SYNCOPE-1178;2017-07-28;2017-08-02;42;42;42;
SYNCOPE-1175;2017-07-27;2017-07-28;41;42;42;41 - 
SYNCOPE-1174;2017-07-27;2017-07-27;41;42;42;41 - 
SYNCOPE-1170;2017-07-20;2017-07-31;42;42;42;
SYNCOPE-1169;2017-07-19;2017-07-20;41;42;;41 - 
SYNCOPE-1168;2017-07-18;2017-07-18;42;42;42;
SYNCOPE-1166;2017-07-17;2017-07-28;41;42;42;41 - 
SYNCOPE-1163;2017-07-14;2017-07-14;41;42;42;41 - 
SYNCOPE-1162;2017-07-13;2017-07-13;41;42;42;41 - 
SYNCOPE-1158;2017-07-12;2017-07-12;41;42;42;41 - 
SYNCOPE-1151;2017-07-10;2017-07-13;41;42;42;41 - 
SYNCOPE-1150;2017-07-10;2017-07-11;41;42;42;41 - 
SYNCOPE-1149;2017-07-05;2017-07-05;41;42;42;41 - 
SYNCOPE-1141;2017-07-04;2017-07-04;41;42;42;41 - 
SYNCOPE-1140;2017-07-03;2017-07-11;41;41;42;41 - 
SYNCOPE-1139;2017-07-03;2017-07-04;41;41;42;41 - 
SYNCOPE-1135;2017-06-28;2017-06-29;40;41;41;40 - 
SYNCOPE-1134;2017-06-28;2017-06-29;40;41;41;40 - 
SYNCOPE-1133;2017-06-28;2017-06-28;40;41;41;40 - 
SYNCOPE-1131;2017-06-27;2017-06-27;40;41;41;40 - 
SYNCOPE-1130;2017-06-27;2017-06-27;40;41;41;40 - 
SYNCOPE-1128;2017-06-27;2017-06-27;19;41;41;19 - 38 - 40 - 
SYNCOPE-1127;2017-06-27;2017-06-28;40;41;;40 - 
SYNCOPE-1125;2017-06-26;2017-06-28;40;41;41;40 - 
SYNCOPE-1123;2017-06-23;2017-06-27;40;41;41;40 - 
SYNCOPE-1122;2017-06-23;2017-06-27;40;41;;40 - 
SYNCOPE-1121;2017-06-23;2017-06-26;40;41;41;40 - 
SYNCOPE-1114;2017-06-21;2017-06-22;40;41;41;40 - 
SYNCOPE-1112;2017-06-19;2017-06-19;40;41;41;40 - 
SYNCOPE-1111;2017-06-16;2017-06-30;40;41;41;40 - 
SYNCOPE-1110;2017-06-15;2017-06-29;40;41;41;40 - 
SYNCOPE-1109;2017-06-13;2017-06-13;40;41;41;40 - 
SYNCOPE-1108;2017-06-13;2017-06-13;40;41;41;40 - 41 - 
SYNCOPE-1107;2017-06-12;2017-06-12;40;41;41;40 - 
SYNCOPE-1104;2017-06-06;2017-06-12;40;41;41;40 - 
SYNCOPE-1102;2017-05-31;2017-06-06;15;41;;15 - 16 - 18 - 19 - 38 - 
SYNCOPE-1101;2017-05-31;2017-06-01;41;41;41;41 - 
SYNCOPE-1099;2017-05-26;2017-05-26;40;41;41;40 - 
SYNCOPE-1098;2017-05-25;2017-05-25;40;41;41;40 - 
SYNCOPE-1094;2017-05-24;2017-05-24;40;41;41;40 - 
SYNCOPE-1091;2017-05-24;2017-05-24;40;41;41;40 - 
SYNCOPE-1090;2017-05-24;2017-05-24;40;41;41;40 - 
SYNCOPE-1089;2017-05-22;2017-05-22;40;41;41;40 - 
SYNCOPE-1085;2017-05-19;2017-05-19;40;41;41;40 - 
SYNCOPE-1082;2017-05-16;2017-05-16;40;41;41;40 - 
SYNCOPE-1081;2017-05-12;2017-05-23;41;41;41;41 - 
SYNCOPE-1079;2017-05-09;2017-05-09;40;41;41;40 - 
SYNCOPE-1078;2017-05-09;2017-05-09;41;41;41;41 - 
SYNCOPE-1076;2017-05-08;2017-05-08;40;41;41;40 - 
SYNCOPE-1075;2017-05-05;2017-05-08;40;41;41;40 - 
